Navn,Stasjon,Tid(norsk normaltid),Lufttemperatur
Haugesund Lufthavn,SN47260,01.01.2020 01:00,7.3
Haugesund Lufthavn,SN47260,01.01.2020 02:00,7.4
Haugesund Lufthavn,SN47260,01.01.2020 03:00,7.3
Haugesund Lufthavn,SN47260,01.01.2020 04:00,7.4
Haugesund Lufthavn,SN47260,01.01.2020 05:00,7.3
Haugesund Lufthavn,SN47260,01.01.2020 06:00,7.2
Haugesund Lufthavn,SN47260,01.01.2020 07:00,7.1
Haugesund Lufthavn,SN47260,01.01.2020 08:00,7.3
Haugesund Lufthavn,SN47260,01.01.2020 09:00,7.3
Haugesund Lufthavn,SN47260,01.01.2020 10:00,7.4
Haugesund Lufthavn,SN47260,01.01.2020 11:00,7.4
Haugesund Lufthavn,SN47260,01.01.2020 12:00,7.2
Haugesund Lufthavn,SN47260,01.01.2020 13:00,7
Haugesund Lufthavn,SN47260,01.01.2020 14:00,6.8
Haugesund Lufthavn,SN47260,01.01.2020 15:00,6.7
Haugesund Lufthavn,SN47260,01.01.2020 16:00,6.8
Haugesund Lufthavn,SN47260,01.01.2020 17:00,6.9
Haugesund Lufthavn,SN47260,01.01.2020 18:00,7.2
Haugesund Lufthavn,SN47260,01.01.2020 19:00,7.2
Haugesund Lufthavn,SN47260,01.01.2020 20:00,7.6
Haugesund Lufthavn,SN47260,01.01.2020 21:00,7.4
Haugesund Lufthavn,SN47260,01.01.2020 22:00,7.5
Haugesund Lufthavn,SN47260,01.01.2020 23:00,7.4
Haugesund Lufthavn,SN47260,02.01.2020 00:00,7.4
Haugesund Lufthavn,SN47260,02.01.2020 01:00,7.1
Haugesund Lufthavn,SN47260,02.01.2020 02:00,7.1
Haugesund Lufthavn,SN47260,02.01.2020 03:00,6.9
Haugesund Lufthavn,SN47260,02.01.2020 04:00,7.1
Haugesund Lufthavn,SN47260,02.01.2020 05:00,7.1
Haugesund Lufthavn,SN47260,02.01.2020 06:00,7.2
Haugesund Lufthavn,SN47260,02.01.2020 07:00,7.2
Haugesund Lufthavn,SN47260,02.01.2020 08:00,7
Haugesund Lufthavn,SN47260,02.01.2020 09:00,7
Haugesund Lufthavn,SN47260,02.01.2020 10:00,7.2
Haugesund Lufthavn,SN47260,02.01.2020 11:00,7.4
Haugesund Lufthavn,SN47260,02.01.2020 12:00,7.5
Haugesund Lufthavn,SN47260,02.01.2020 13:00,7.6
Haugesund Lufthavn,SN47260,02.01.2020 14:00,7.6
Haugesund Lufthavn,SN47260,02.01.2020 15:00,7.5
Haugesund Lufthavn,SN47260,02.01.2020 16:00,7.6
Haugesund Lufthavn,SN47260,02.01.2020 17:00,7.8
Haugesund Lufthavn,SN47260,02.01.2020 18:00,7.9
Haugesund Lufthavn,SN47260,02.01.2020 19:00,7.8
Haugesund Lufthavn,SN47260,02.01.2020 20:00,7.5
Haugesund Lufthavn,SN47260,02.01.2020 21:00,7.5
Haugesund Lufthavn,SN47260,02.01.2020 22:00,7.8
Haugesund Lufthavn,SN47260,02.01.2020 23:00,8
Haugesund Lufthavn,SN47260,03.01.2020 00:00,8.5
Haugesund Lufthavn,SN47260,03.01.2020 01:00,8.8
Haugesund Lufthavn,SN47260,03.01.2020 02:00,8.5
Haugesund Lufthavn,SN47260,03.01.2020 03:00,6.9
Haugesund Lufthavn,SN47260,03.01.2020 04:00,7.3
Haugesund Lufthavn,SN47260,03.01.2020 05:00,6.8
Haugesund Lufthavn,SN47260,03.01.2020 06:00,6.6
Haugesund Lufthavn,SN47260,03.01.2020 07:00,6.3
Haugesund Lufthavn,SN47260,03.01.2020 08:00,6.1
Haugesund Lufthavn,SN47260,03.01.2020 09:00,6.2
Haugesund Lufthavn,SN47260,03.01.2020 10:00,5.1
Haugesund Lufthavn,SN47260,03.01.2020 11:00,5.7
Haugesund Lufthavn,SN47260,03.01.2020 12:00,6.2
Haugesund Lufthavn,SN47260,03.01.2020 13:00,6.2
Haugesund Lufthavn,SN47260,03.01.2020 14:00,4.2
Haugesund Lufthavn,SN47260,03.01.2020 15:00,5.5
Haugesund Lufthavn,SN47260,03.01.2020 16:00,5.8
Haugesund Lufthavn,SN47260,03.01.2020 17:00,5.8
Haugesund Lufthavn,SN47260,03.01.2020 18:00,5.6
Haugesund Lufthavn,SN47260,03.01.2020 19:00,5.8
Haugesund Lufthavn,SN47260,03.01.2020 20:00,5
Haugesund Lufthavn,SN47260,03.01.2020 21:00,4.4
Haugesund Lufthavn,SN47260,03.01.2020 22:00,3.2
Haugesund Lufthavn,SN47260,03.01.2020 23:00,1.7
Haugesund Lufthavn,SN47260,04.01.2020 00:00,3.2
Haugesund Lufthavn,SN47260,04.01.2020 01:00,1.9
Haugesund Lufthavn,SN47260,04.01.2020 02:00,2.2
Haugesund Lufthavn,SN47260,04.01.2020 03:00,3.1
Haugesund Lufthavn,SN47260,04.01.2020 04:00,3.7
Haugesund Lufthavn,SN47260,04.01.2020 05:00,4
Haugesund Lufthavn,SN47260,04.01.2020 06:00,3
Haugesund Lufthavn,SN47260,04.01.2020 07:00,2.4
Haugesund Lufthavn,SN47260,04.01.2020 08:00,4.2
Haugesund Lufthavn,SN47260,04.01.2020 09:00,4.4
Haugesund Lufthavn,SN47260,04.01.2020 10:00,4.6
Haugesund Lufthavn,SN47260,04.01.2020 11:00,5
Haugesund Lufthavn,SN47260,04.01.2020 12:00,4.3
Haugesund Lufthavn,SN47260,04.01.2020 13:00,3.8
Haugesund Lufthavn,SN47260,04.01.2020 14:00,4.1
Haugesund Lufthavn,SN47260,04.01.2020 15:00,4.3
Haugesund Lufthavn,SN47260,04.01.2020 16:00,4.4
Haugesund Lufthavn,SN47260,04.01.2020 17:00,2.4
Haugesund Lufthavn,SN47260,04.01.2020 18:00,1.8
Haugesund Lufthavn,SN47260,04.01.2020 19:00,1
Haugesund Lufthavn,SN47260,04.01.2020 20:00,1.4
Haugesund Lufthavn,SN47260,04.01.2020 21:00,1.5
Haugesund Lufthavn,SN47260,04.01.2020 22:00,1.9
Haugesund Lufthavn,SN47260,04.01.2020 23:00,2.5
Haugesund Lufthavn,SN47260,05.01.2020 00:00,2.4
Haugesund Lufthavn,SN47260,05.01.2020 01:00,1.9
Haugesund Lufthavn,SN47260,05.01.2020 02:00,2.6
Haugesund Lufthavn,SN47260,05.01.2020 03:00,3.2
Haugesund Lufthavn,SN47260,05.01.2020 04:00,3.5
Haugesund Lufthavn,SN47260,05.01.2020 05:00,3.1
Haugesund Lufthavn,SN47260,05.01.2020 06:00,2.7
Haugesund Lufthavn,SN47260,05.01.2020 07:00,3.1
Haugesund Lufthavn,SN47260,05.01.2020 08:00,4.4
Haugesund Lufthavn,SN47260,05.01.2020 09:00,6.5
Haugesund Lufthavn,SN47260,05.01.2020 10:00,7.4
Haugesund Lufthavn,SN47260,05.01.2020 11:00,7.6
Haugesund Lufthavn,SN47260,05.01.2020 12:00,7.6
Haugesund Lufthavn,SN47260,05.01.2020 13:00,7.6
Haugesund Lufthavn,SN47260,05.01.2020 14:00,7.7
Haugesund Lufthavn,SN47260,05.01.2020 15:00,7.7
Haugesund Lufthavn,SN47260,05.01.2020 16:00,7.7
Haugesund Lufthavn,SN47260,05.01.2020 17:00,7.7
Haugesund Lufthavn,SN47260,05.01.2020 18:00,7.7
Haugesund Lufthavn,SN47260,05.01.2020 19:00,7.5
Haugesund Lufthavn,SN47260,05.01.2020 20:00,7.5
Haugesund Lufthavn,SN47260,05.01.2020 21:00,7.5
Haugesund Lufthavn,SN47260,05.01.2020 22:00,7.6
Haugesund Lufthavn,SN47260,05.01.2020 23:00,7.6
Haugesund Lufthavn,SN47260,06.01.2020 00:00,7.7
Haugesund Lufthavn,SN47260,06.01.2020 01:00,7.8
Haugesund Lufthavn,SN47260,06.01.2020 02:00,7.8
Haugesund Lufthavn,SN47260,06.01.2020 03:00,7.8
Haugesund Lufthavn,SN47260,06.01.2020 04:00,8
Haugesund Lufthavn,SN47260,06.01.2020 05:00,8.1
Haugesund Lufthavn,SN47260,06.01.2020 06:00,8
Haugesund Lufthavn,SN47260,06.01.2020 07:00,8.1
Haugesund Lufthavn,SN47260,06.01.2020 08:00,8.2
Haugesund Lufthavn,SN47260,06.01.2020 09:00,8.2
Haugesund Lufthavn,SN47260,06.01.2020 10:00,8.2
Haugesund Lufthavn,SN47260,06.01.2020 11:00,7.9
Haugesund Lufthavn,SN47260,06.01.2020 12:00,7.7
Haugesund Lufthavn,SN47260,06.01.2020 13:00,7.3
Haugesund Lufthavn,SN47260,06.01.2020 14:00,7.2
Haugesund Lufthavn,SN47260,06.01.2020 15:00,7
Haugesund Lufthavn,SN47260,06.01.2020 16:00,6.6
Haugesund Lufthavn,SN47260,06.01.2020 17:00,6.5
Haugesund Lufthavn,SN47260,06.01.2020 18:00,6.4
Haugesund Lufthavn,SN47260,06.01.2020 19:00,6.8
Haugesund Lufthavn,SN47260,06.01.2020 20:00,6.8
Haugesund Lufthavn,SN47260,06.01.2020 21:00,6.9
Haugesund Lufthavn,SN47260,06.01.2020 22:00,6.7
Haugesund Lufthavn,SN47260,06.01.2020 23:00,6.9
Haugesund Lufthavn,SN47260,07.01.2020 00:00,7.2
Haugesund Lufthavn,SN47260,07.01.2020 01:00,7.4
Haugesund Lufthavn,SN47260,07.01.2020 02:00,7.6
Haugesund Lufthavn,SN47260,07.01.2020 03:00,7.5
Haugesund Lufthavn,SN47260,07.01.2020 04:00,7.4
Haugesund Lufthavn,SN47260,07.01.2020 05:00,6.5
Haugesund Lufthavn,SN47260,07.01.2020 06:00,6.9
Haugesund Lufthavn,SN47260,07.01.2020 07:00,6.7
Haugesund Lufthavn,SN47260,07.01.2020 08:00,5
