Navn,Stasjon,Tid,Nedbør,Lufttemperatur,Vindretning,Middelvind
Høvringen II,SN16271,01.01.2021 01:00,0,-6.4,268,1.2
Høvringen II,SN16271,01.01.2021 02:00,0,-5.9,291,5.4
Høvringen II,SN16271,01.01.2021 03:00,0,-6.6,293,5.6
Høvringen II,SN16271,01.01.2021 04:00,0,-8,284,3.7
Høvringen II,SN16271,01.01.2021 05:00,0,-12.7,272,1.2
Høvringen II,SN16271,01.01.2021 06:00,0,-9.8,266,1.4
Høvringen II,SN16271,01.01.2021 07:00,0,-12.7,269,1.7
Høvringen II,SN16271,01.01.2021 08:00,0,-13.3,269,1.5
Høvringen II,SN16271,01.01.2021 09:00,0,-12.1,269,2.6
Høvringen II,SN16271,01.01.2021 10:00,0,-10.6,269,1.8
Høvringen II,SN16271,01.01.2021 11:00,0,-9.9,272,1.1
Høvringen II,SN16271,01.01.2021 12:00,0,-9.8,270,1.3
Høvringen II,SN16271,01.01.2021 13:00,0,-8.1,269,0.4
Høvringen II,SN16271,01.01.2021 14:00,0.1,-7.6,270,0.9
Høvringen II,SN16271,01.01.2021 15:00,0,-9.3,267,1.3
Høvringen II,SN16271,01.01.2021 16:00,0,-9.4,271,1
Høvringen II,SN16271,01.01.2021 17:00,0,-9,266,1.7
Høvringen II,SN16271,01.01.2021 18:00,0.1,-8.5,272,0.9
Høvringen II,SN16271,01.01.2021 19:00,0.2,-7.7,268,0.6
Høvringen II,SN16271,01.01.2021 20:00,0.1,-7.4,267,1.2
Høvringen II,SN16271,01.01.2021 21:00,0.3,-7.8,271,0.4
Høvringen II,SN16271,01.01.2021 22:00,0.1,-7.2,265,1.5
Høvringen II,SN16271,01.01.2021 23:00,0,-6.3,263,2
Høvringen II,SN16271,02.01.2021 00:00,0,-5.1,256,4.9
Høvringen II,SN16271,02.01.2021 01:00,0,-4.8,255,4
Høvringen II,SN16271,02.01.2021 02:00,0,-5.1,262,2.2
Høvringen II,SN16271,02.01.2021 03:00,0,-5.3,259,2.9
Høvringen II,SN16271,02.01.2021 04:00,0,-4.8,252,5.2
Høvringen II,SN16271,02.01.2021 05:00,0.1,-4.8,254,4.8
Høvringen II,SN16271,02.01.2021 06:00,0.1,-5.1,259,4
Høvringen II,SN16271,02.01.2021 07:00,0,-5.1,255,6.3
Høvringen II,SN16271,02.01.2021 08:00,0,-5,255,5.3
Høvringen II,SN16271,02.01.2021 09:00,0,-5,257,4.6
Høvringen II,SN16271,02.01.2021 10:00,0,-5,258,4
Høvringen II,SN16271,02.01.2021 11:00,0,-5.2,260,2.6
Høvringen II,SN16271,02.01.2021 12:00,0,-4.9,261,4.4
Høvringen II,SN16271,02.01.2021 13:00,0,-4.9,263,2.9
Høvringen II,SN16271,02.01.2021 14:00,0,-5,257,4
Høvringen II,SN16271,02.01.2021 15:00,0,-5.3,261,3.1
Høvringen II,SN16271,02.01.2021 16:00,0,-6.9,263,4.4
Høvringen II,SN16271,02.01.2021 17:00,0,-6.6,263,3.9
Høvringen II,SN16271,02.01.2021 18:00,0,-6,264,4.9
Høvringen II,SN16271,02.01.2021 19:00,0,-6.9,264,1.5
Høvringen II,SN16271,02.01.2021 20:00,0,-6.8,268,1
Høvringen II,SN16271,02.01.2021 21:00,0,-7,271,0.5
Høvringen II,SN16271,02.01.2021 22:00,0,-5.9,270,1.9
Høvringen II,SN16271,02.01.2021 23:00,0,-8.3,272,1.1
Høvringen II,SN16271,03.01.2021 00:00,0,-10,264,2.7
Høvringen II,SN16271,03.01.2021 01:00,0,-12.1,272,1.2
Høvringen II,SN16271,03.01.2021 02:00,0,-12.9,272,1.1
Høvringen II,SN16271,03.01.2021 03:00,0,-13.2,269,1.1
Høvringen II,SN16271,03.01.2021 04:00,0,-14.2,274,1.6
Høvringen II,SN16271,03.01.2021 05:00,0,-14.1,270,0.8
Høvringen II,SN16271,03.01.2021 06:00,0,-15.3,274,1.6
Høvringen II,SN16271,03.01.2021 07:00,0,-14.9,277,2.4
Høvringen II,SN16271,03.01.2021 08:00,0,-14.8,271,1
Høvringen II,SN16271,03.01.2021 09:00,0,-14.8,274,1.6
Høvringen II,SN16271,03.01.2021 10:00,0,-15,271,1.2
Høvringen II,SN16271,03.01.2021 11:00,0,-14.1,271,0.8
Høvringen II,SN16271,03.01.2021 12:00,0,-13.5,273,1
Høvringen II,SN16271,03.01.2021 13:00,0,-13.5,270,1.1
Høvringen II,SN16271,03.01.2021 14:00,0,-13.1,271,1.6
Høvringen II,SN16271,03.01.2021 15:00,0,-13.6,278,2.6
Høvringen II,SN16271,03.01.2021 16:00,0,-14.2,270,1.1
Høvringen II,SN16271,03.01.2021 17:00,0,-12.4,267,1.3
Høvringen II,SN16271,03.01.2021 18:00,0,-13.9,272,1.1
Høvringen II,SN16271,03.01.2021 19:00,0,-13.8,273,1.4
Høvringen II,SN16271,03.01.2021 20:00,0,-12.6,273,1.5
Høvringen II,SN16271,03.01.2021 21:00,0,-12.9,273,1.4
Høvringen II,SN16271,03.01.2021 22:00,0,-12.7,272,1.2
Høvringen II,SN16271,03.01.2021 23:00,0,-12.5,273,1.2
Høvringen II,SN16271,04.01.2021 00:00,0,-12.2,274,1.5
Høvringen II,SN16271,04.01.2021 01:00,0,-11.3,271,0.6
Høvringen II,SN16271,04.01.2021 02:00,0,-11.6,266,2
Høvringen II,SN16271,04.01.2021 03:00,0,-13,267,2.2
Høvringen II,SN16271,04.01.2021 04:00,0,-13.6,265,1.8
Høvringen II,SN16271,04.01.2021 05:00,0,-13.2,268,2.2
Høvringen II,SN16271,04.01.2021 06:00,0,-12.8,271,1
Høvringen II,SN16271,04.01.2021 07:00,0,-12.4,271,1.1
Høvringen II,SN16271,04.01.2021 08:00,0,-13.2,266,1.8
Høvringen II,SN16271,04.01.2021 09:00,0,-14,268,1.5
Høvringen II,SN16271,04.01.2021 10:00,0,-13.6,272,1.6
Høvringen II,SN16271,04.01.2021 11:00,0,-12.6,271,1.1
Høvringen II,SN16271,04.01.2021 12:00,0,-12.9,268,1
Høvringen II,SN16271,04.01.2021 13:00,0,-13.3,269,1.6
Høvringen II,SN16271,04.01.2021 14:00,0,-13.1,270,1.1
Høvringen II,SN16271,04.01.2021 15:00,0,-13.3,270,1.4
Høvringen II,SN16271,04.01.2021 16:00,0,-14.7,269,1.6
Høvringen II,SN16271,04.01.2021 17:00,0,-14.4,270,1.3
Høvringen II,SN16271,04.01.2021 18:00,0,-15,272,1.9
Høvringen II,SN16271,04.01.2021 19:00,0,-15.5,272,1.4
Høvringen II,SN16271,04.01.2021 20:00,0,-15.4,264,2.8
Høvringen II,SN16271,04.01.2021 21:00,0,-13.7,269,0.8
Høvringen II,SN16271,04.01.2021 22:00,0,-14.1,268,1.4
Høvringen II,SN16271,04.01.2021 23:00,0,-12.6,267,1.2
Høvringen II,SN16271,05.01.2021 00:00,0,-13,269,0.5
Høvringen II,SN16271,05.01.2021 01:00,0,-12.5,261,3.1
Høvringen II,SN16271,05.01.2021 02:00,0,-13.1,267,2.2
Høvringen II,SN16271,05.01.2021 03:00,0,-10.7,261,3
Høvringen II,SN16271,05.01.2021 04:00,0,-10.5,271,0.6
Høvringen II,SN16271,05.01.2021 05:00,0,-11,271,1.1
Høvringen II,SN16271,05.01.2021 06:00,0,-10.7,263,3.1
Høvringen II,SN16271,05.01.2021 07:00,0,-13,268,1.1
Høvringen II,SN16271,05.01.2021 08:00,0,-13.6,267,2.3
Høvringen II,SN16271,05.01.2021 09:00,0,-14.6,265,2.5
Høvringen II,SN16271,05.01.2021 10:00,0,-13.8,270,0.9
Høvringen II,SN16271,05.01.2021 11:00,0,-14.7,267,1.4
Høvringen II,SN16271,05.01.2021 12:00,0,-14,270,1
Høvringen II,SN16271,05.01.2021 13:00,0,-13.4,270,1.6
Høvringen II,SN16271,05.01.2021 14:00,0,-14.7,267,1.8
Høvringen II,SN16271,05.01.2021 15:00,0,-15.9,266,1.9
Høvringen II,SN16271,05.01.2021 16:00,0,-15.2,268,1.4
Høvringen II,SN16271,05.01.2021 17:00,0,-15,269,1.6
Høvringen II,SN16271,05.01.2021 18:00,0,-15.6,267,2.5
Høvringen II,SN16271,05.01.2021 19:00,0,-14.6,267,2.1
Høvringen II,SN16271,05.01.2021 20:00,0,-14.6,270,1.7
Høvringen II,SN16271,05.01.2021 21:00,0,-13,268,1
Høvringen II,SN16271,05.01.2021 22:00,0,-14.4,273,1.3
Høvringen II,SN16271,05.01.2021 23:00,0,-13.2,272,0.9
Høvringen II,SN16271,06.01.2021 00:00,0,-14.1,268,0.8
Høvringen II,SN16271,06.01.2021 01:00,0,-13.6,269,1.1
Høvringen II,SN16271,06.01.2021 02:00,0,-12.5,267,1.8
Høvringen II,SN16271,06.01.2021 03:00,0,-11.2,261,2.4
Høvringen II,SN16271,06.01.2021 04:00,0,-12.7,264,2.2
Høvringen II,SN16271,06.01.2021 05:00,0,-12.4,266,1.8
Høvringen II,SN16271,06.01.2021 06:00,0,-12.7,269,1.2
Høvringen II,SN16271,06.01.2021 07:00,0,-12.7,268,1.7
Høvringen II,SN16271,06.01.2021 08:00,0,-12.6,267,1.7
Høvringen II,SN16271,06.01.2021 09:00,0,-12,268,2
Høvringen II,SN16271,06.01.2021 10:00,0,-13,272,1.1
Høvringen II,SN16271,06.01.2021 11:00,0,-11.4,270,1.4
Høvringen II,SN16271,06.01.2021 12:00,0,-11.7,271,0.7
Høvringen II,SN16271,06.01.2021 13:00,0,-10.8,272,1.1
Høvringen II,SN16271,06.01.2021 14:00,0,-9.6,258,4.4
Høvringen II,SN16271,06.01.2021 15:00,0,-14,266,1.2
Høvringen II,SN16271,06.01.2021 16:00,0,-12.6,270,1.2
Høvringen II,SN16271,06.01.2021 17:00,0,-11.3,256,4.2
Høvringen II,SN16271,06.01.2021 18:00,0,-12.6,270,2
Høvringen II,SN16271,06.01.2021 19:00,0,-13.7,273,0.9
Høvringen II,SN16271,06.01.2021 20:00,0,-12.2,260,3.6
Høvringen II,SN16271,06.01.2021 21:00,0,-12.9,261,3.3
Høvringen II,SN16271,06.01.2021 22:00,0,-11.9,255,4.4
Høvringen II,SN16271,06.01.2021 23:00,0,-11.9,256,4.3
Høvringen II,SN16271,07.01.2021 00:00,0,-13.2,257,3.6
Høvringen II,SN16271,07.01.2021 01:00,0,-14.2,262,5
Høvringen II,SN16271,07.01.2021 02:00,0,-15,264,1.6
Høvringen II,SN16271,07.01.2021 03:00,0,-16,263,3
Høvringen II,SN16271,07.01.2021 04:00,0,-15.5,254,5.4
Høvringen II,SN16271,07.01.2021 05:00,0,-16.8,259,3.5
Høvringen II,SN16271,07.01.2021 06:00,0,-17.7,272,1.4
Høvringen II,SN16271,07.01.2021 07:00,0,-17.6,259,3.6
Høvringen II,SN16271,07.01.2021 08:00,0,-17.8,258,4.8
Høvringen II,SN16271,07.01.2021 09:00,0,-18.5,255,5.4
Høvringen II,SN16271,07.01.2021 10:00,0,-18.8,254,5.6
Høvringen II,SN16271,07.01.2021 11:00,0,-18.9,255,5.3
Høvringen II,SN16271,07.01.2021 12:00,0,-18.5,261,4.4
Høvringen II,SN16271,07.01.2021 13:00,0,-19.6,260,4.7
Høvringen II,SN16271,07.01.2021 14:00,0,-20.2,265,1.6
Høvringen II,SN16271,07.01.2021 15:00,0,-20.3,265,1.7
Høvringen II,SN16271,07.01.2021 16:00,0,-18.4,260,3.7
Høvringen II,SN16271,07.01.2021 17:00,0,-18.7,262,4.1
Høvringen II,SN16271,07.01.2021 18:00,0,-18.5,263,2.8
Høvringen II,SN16271,07.01.2021 19:00,0,-19.4,267,1.9
Høvringen II,SN16271,07.01.2021 20:00,0,-18.8,264,3.4
