Navn,Stasjon,Tid,Vindretning,Middelvind,Lufttemperatur
Vigra,SN60990,01.01.2021 01:00,85,2.8,1.5
Vigra,SN60990,01.01.2021 02:00,86,2.8,0.2
Vigra,SN60990,01.01.2021 03:00,87,3,-0.1
Vigra,SN60990,01.01.2021 04:00,89,2.2,0.4
Vigra,SN60990,01.01.2021 05:00,82,2.1,2
Vigra,SN60990,01.01.2021 06:00,145,3.4,1.1
Vigra,SN60990,01.01.2021 07:00,142,3.8,1.7
Vigra,SN60990,01.01.2021 08:00,139,3.8,1.5
Vigra,SN60990,01.01.2021 09:00,144,4,1.5
Vigra,SN60990,01.01.2021 10:00,132,4.4,1.4
Vigra,SN60990,01.01.2021 11:00,133,4.7,1.7
Vigra,SN60990,01.01.2021 12:00,142,4.2,1.9
Vigra,SN60990,01.01.2021 13:00,144,3.7,1.9
Vigra,SN60990,01.01.2021 14:00,137,4.6,1.6
Vigra,SN60990,01.01.2021 15:00,148,4.8,1.3
Vigra,SN60990,01.01.2021 16:00,136,5.3,1.3
Vigra,SN60990,01.01.2021 17:00,143,5.6,1.5
Vigra,SN60990,01.01.2021 18:00,140,5.5,1.5
Vigra,SN60990,01.01.2021 19:00,140,5.9,1.7
Vigra,SN60990,01.01.2021 20:00,134,5.7,1.8
Vigra,SN60990,01.01.2021 21:00,130,6.8,1.9
Vigra,SN60990,01.01.2021 22:00,115,4.6,1.5
Vigra,SN60990,01.01.2021 23:00,73,4.1,0.8
Vigra,SN60990,02.01.2021 00:00,41,3.8,0.7
Vigra,SN60990,02.01.2021 01:00,126,6.4,0
Vigra,SN60990,02.01.2021 02:00,128,5.1,0.2
Vigra,SN60990,02.01.2021 03:00,127,4.5,0.4
Vigra,SN60990,02.01.2021 04:00,134,4.2,0.5
Vigra,SN60990,02.01.2021 05:00,131,3.9,0.8
Vigra,SN60990,02.01.2021 06:00,129,3.5,0.9
Vigra,SN60990,02.01.2021 07:00,135,3.6,1
Vigra,SN60990,02.01.2021 08:00,139,3.6,0.8
Vigra,SN60990,02.01.2021 09:00,125,4.3,0.5
Vigra,SN60990,02.01.2021 10:00,123,3.6,0.7
Vigra,SN60990,02.01.2021 11:00,49,2.6,1.3
Vigra,SN60990,02.01.2021 12:00,134,3.9,1.5
Vigra,SN60990,02.01.2021 13:00,120,3.5,1.2
Vigra,SN60990,02.01.2021 14:00,28,1.6,-1
Vigra,SN60990,02.01.2021 15:00,80,2.8,-3.2
Vigra,SN60990,02.01.2021 16:00,111,1.6,-2
Vigra,SN60990,02.01.2021 17:00,155,2.5,-5
Vigra,SN60990,02.01.2021 18:00,133,3,-3.5
Vigra,SN60990,02.01.2021 19:00,132,3.7,-0.8
Vigra,SN60990,02.01.2021 20:00,133,3.8,-3.9
Vigra,SN60990,02.01.2021 21:00,131,4.1,-2
Vigra,SN60990,02.01.2021 22:00,138,3.5,-0.7
Vigra,SN60990,02.01.2021 23:00,148,4,-0.8
Vigra,SN60990,03.01.2021 00:00,145,4.5,-0.3
Vigra,SN60990,03.01.2021 01:00,146,4.5,-0.2
Vigra,SN60990,03.01.2021 02:00,149,4,-1.7
Vigra,SN60990,03.01.2021 03:00,148,4.2,0.1
Vigra,SN60990,03.01.2021 04:00,139,5.1,0.1
Vigra,SN60990,03.01.2021 05:00,137,4.9,-0.2
Vigra,SN60990,03.01.2021 06:00,138,5.3,-0.7
Vigra,SN60990,03.01.2021 07:00,138,4.6,-0.8
Vigra,SN60990,03.01.2021 08:00,139,4.2,-0.8
Vigra,SN60990,03.01.2021 09:00,147,3.6,-1.1
Vigra,SN60990,03.01.2021 10:00,141,3.7,-4.1
Vigra,SN60990,03.01.2021 11:00,135,4.6,0
Vigra,SN60990,03.01.2021 12:00,134,5,0.4
Vigra,SN60990,03.01.2021 13:00,140,4.9,0.4
Vigra,SN60990,03.01.2021 14:00,145,3.7,0.6
Vigra,SN60990,03.01.2021 15:00,141,4.5,-0.5
Vigra,SN60990,03.01.2021 16:00,144,4.5,-0.8
Vigra,SN60990,03.01.2021 17:00,138,4.4,-1.3
Vigra,SN60990,03.01.2021 18:00,145,3.6,-0.9
Vigra,SN60990,03.01.2021 19:00,140,3.4,-1.8
Vigra,SN60990,03.01.2021 20:00,144,3.8,-2.2
Vigra,SN60990,03.01.2021 21:00,141,4.3,-1.5
Vigra,SN60990,03.01.2021 22:00,145,3.8,-1.9
Vigra,SN60990,03.01.2021 23:00,150,3.1,-3
Vigra,SN60990,04.01.2021 00:00,145,3.6,-1.7
Vigra,SN60990,04.01.2021 01:00,142,4.3,-1.5
Vigra,SN60990,04.01.2021 02:00,151,2.8,-1.3
Vigra,SN60990,04.01.2021 03:00,150,2.8,-1.8
Vigra,SN60990,04.01.2021 04:00,153,3.3,-4.6
Vigra,SN60990,04.01.2021 05:00,147,3.5,-2.3
Vigra,SN60990,04.01.2021 06:00,159,1.9,-1.8
Vigra,SN60990,04.01.2021 07:00,163,1.5,-3.3
Vigra,SN60990,04.01.2021 08:00,147,3.1,-3.8
Vigra,SN60990,04.01.2021 09:00,155,3.2,-2.8
Vigra,SN60990,04.01.2021 10:00,152,3.2,-1.9
Vigra,SN60990,04.01.2021 11:00,151,3.1,-2.5
Vigra,SN60990,04.01.2021 12:00,161,2.8,-0.1
Vigra,SN60990,04.01.2021 13:00,145,3.1,-0.2
Vigra,SN60990,04.01.2021 14:00,139,4,-0.5
Vigra,SN60990,04.01.2021 15:00,147,2.8,-0.9
Vigra,SN60990,04.01.2021 16:00,160,2.8,-2.3
Vigra,SN60990,04.01.2021 17:00,185,2.2,-4.6
Vigra,SN60990,04.01.2021 18:00,178,1.5,-4.3
Vigra,SN60990,04.01.2021 19:00,157,2,-5.2
Vigra,SN60990,04.01.2021 20:00,157,1.8,-2.6
Vigra,SN60990,04.01.2021 21:00,145,3.7,-5.1
Vigra,SN60990,04.01.2021 22:00,145,4.2,-2.4
Vigra,SN60990,04.01.2021 23:00,149,4.1,-4.6
Vigra,SN60990,05.01.2021 00:00,164,3.5,-1.4
Vigra,SN60990,05.01.2021 01:00,173,2.1,-3.5
Vigra,SN60990,05.01.2021 02:00,153,3.7,-2.8
Vigra,SN60990,05.01.2021 03:00,147,2.9,-4.9
Vigra,SN60990,05.01.2021 04:00,148,3.6,-1.2
Vigra,SN60990,05.01.2021 05:00,148,3.4,-2
Vigra,SN60990,05.01.2021 06:00,148,3.5,-1.2
Vigra,SN60990,05.01.2021 07:00,146,2.9,-0.3
Vigra,SN60990,05.01.2021 08:00,145,3.9,-0.4
Vigra,SN60990,05.01.2021 09:00,152,3.4,0.2
Vigra,SN60990,05.01.2021 10:00,154,3.1,0.3
Vigra,SN60990,05.01.2021 11:00,153,3.6,0.4
Vigra,SN60990,05.01.2021 12:00,144,3.1,0.3
Vigra,SN60990,05.01.2021 13:00,160,3.2,-1.1
Vigra,SN60990,05.01.2021 14:00,176,2.7,0.8
Vigra,SN60990,05.01.2021 15:00,173,2.5,-1.2
Vigra,SN60990,05.01.2021 16:00,159,2.4,-1.8
Vigra,SN60990,05.01.2021 17:00,149,2.7,-1.6
Vigra,SN60990,05.01.2021 18:00,157,2.9,0.5
Vigra,SN60990,05.01.2021 19:00,149,3.8,0.3
Vigra,SN60990,05.01.2021 20:00,141,4.7,0.8
Vigra,SN60990,05.01.2021 21:00,147,4.9,0.8
Vigra,SN60990,05.01.2021 22:00,149,3.7,0.9
Vigra,SN60990,05.01.2021 23:00,146,4.4,0.6
Vigra,SN60990,06.01.2021 00:00,147,4.4,0.9
Vigra,SN60990,06.01.2021 01:00,144,3.8,1
Vigra,SN60990,06.01.2021 02:00,154,3.6,0.9
Vigra,SN60990,06.01.2021 03:00,157,3.7,1.1
Vigra,SN60990,06.01.2021 04:00,147,3,1
Vigra,SN60990,06.01.2021 05:00,148,3.9,1.2
Vigra,SN60990,06.01.2021 06:00,152,4,1.1
Vigra,SN60990,06.01.2021 07:00,146,4.1,-0.3
Vigra,SN60990,06.01.2021 08:00,141,4.8,-0.8
Vigra,SN60990,06.01.2021 09:00,143,5.2,-0.5
Vigra,SN60990,06.01.2021 10:00,136,5,-0.2
Vigra,SN60990,06.01.2021 11:00,154,3.7,0.1
Vigra,SN60990,06.01.2021 12:00,150,4.9,-0.2
Vigra,SN60990,06.01.2021 13:00,146,4.5,0.8
Vigra,SN60990,06.01.2021 14:00,149,4.5,0.9
Vigra,SN60990,06.01.2021 15:00,142,4.7,1.1
Vigra,SN60990,06.01.2021 16:00,142,4.5,0.7
Vigra,SN60990,06.01.2021 17:00,143,4.2,0.3
Vigra,SN60990,06.01.2021 18:00,136,5.1,0.5
Vigra,SN60990,06.01.2021 19:00,147,4.7,0.7
Vigra,SN60990,06.01.2021 20:00,135,5.5,0.8
Vigra,SN60990,06.01.2021 21:00,144,5.1,0.4
Vigra,SN60990,06.01.2021 22:00,146,4.9,0.5
Vigra,SN60990,06.01.2021 23:00,143,5.5,0.5
Vigra,SN60990,07.01.2021 00:00,151,5.5,0.3
Vigra,SN60990,07.01.2021 01:00,153,5.1,0.3
Vigra,SN60990,07.01.2021 02:00,138,6.3,0.5
Vigra,SN60990,07.01.2021 03:00,131,6.5,0.9
Vigra,SN60990,07.01.2021 04:00,131,7.2,1.2
Vigra,SN60990,07.01.2021 05:00,131,7.4,0.8
Vigra,SN60990,07.01.2021 06:00,138,6.5,0.8
Vigra,SN60990,07.01.2021 07:00,132,7.2,0.6
Vigra,SN60990,07.01.2021 08:00,133,7.2,1.5
Vigra,SN60990,07.01.2021 09:00,137,7.2,1.4
Vigra,SN60990,07.01.2021 10:00,137,7.9,1.4
Vigra,SN60990,07.01.2021 11:00,139,7.5,1.5
Vigra,SN60990,07.01.2021 12:00,138,6.5,1.5
Vigra,SN60990,07.01.2021 13:00,136,7,1.7
Vigra,SN60990,07.01.2021 14:00,136,6.9,1.7
Vigra,SN60990,07.01.2021 15:00,139,7.2,1.5
Vigra,SN60990,07.01.2021 16:00,137,6.9,1.3
Vigra,SN60990,07.01.2021 17:00,131,7,1.2
Vigra,SN60990,07.01.2021 18:00,135,6.9,1.4
Vigra,SN60990,07.01.2021 19:00,134,6.8,1.3
Vigra,SN60990,07.01.2021 20:00,137,6.1,1.4
Vigra,SN60990,07.01.2021 21:00,151,4.2,1.3
Vigra,SN60990,07.01.2021 22:00,137,4.5,1.3
Vigra,SN60990,07.01.2021 23:00,139,5.2,1.1
Vigra,SN60990,08.01.2021 00:00,134,5.1,1.1
Vigra,SN60990,08.01.2021 01:00,131,5.4,1.2
Vigra,SN60990,08.01.2021 02:00,132,6,1.2
Vigra,SN60990,08.01.2021 03:00,136,5.3,0.7
